,Sample_01_1,Sample_01_2,Sample_01_3,Sample_02_1,Sample_02_2,Sample_02_3,Sample_03_1,Sample_03_2,Sample_03_3,Sample_06_1,Sample_06_2,Sample_06_3,Sample_07_1,Sample_07_2,Sample_07_3,Sample_08_1,Sample_08_2,Sample_08_3
OTU1,0,0,124991,370436,261920,289122,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,3335130,1588354,7959797,0,0,0,164833,182752,154292,531397,1342685,1780325,2193674,3048408,2991921,3639379,1139784,1599922
OTU3,126573,161551,0,1966260,0,0,0,0,0,306645,0,665430,656795,307142,597915,0,0,0
OTU4,0,0,0,0,0,92198,0,0,0,0,0,0,0,0,0,206349,0,91998
OTU5,65,0,34,0,0,0,45,9,0,0,0,0,0,0,0,0,0,0
OTU6,0,22,3,2,777,0,0,0,0,149101,0,45,0,453,0,0,0,687
OTU7,117167,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,0,0,0,0,0,0,79126,293470,165633,0,216535,0,129674,0,0,368961,407065,0
OTU9,802343,725233,298665,674490,750598,414579,498924,360632,458170,704918,1087382,640917,792071,972906,1021202,976748,509997,791973
OTU10,227934,125097,186185,0,0,0,0,99878,0,156399,410470,277345,0,138776,0,0,0,0